,1,2,3,4,5,6,7,8,9,10,11,12
A,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,b-actin,b-actin,b-actin
B,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,b-actin,b-actin,b-actin
C,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,b-actin,b-actin,b-actin
D,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,b-actin,b-actin,b-actin
E,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
F,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,Dlk1,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
G,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
H,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
