,1,2,3,4,5,6,7,8,9,10,11,12
A,PLIN,PLIN,PLIN,PLIN,PLIN,PLIN,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
B,PLIN,PLIN,PLIN,PLIN,PLIN,PLIN,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
C,PLIN,PLIN,PLIN,PLIN,PLIN,PLIN,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
D,PLIN,PLIN,PLIN,PLIN,PLIN,PLIN,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
E,PLIN,PLIN,PLIN,PLIN,PLIN,PLIN,,b-actin,b-actin,b-actin,b-actin,b-actin
F,PLIN,PLIN,PLIN,PLIN,PLIN,PLIN,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
G,,,,,,,,,,,,
H,,,,,,,,,,,,
