,1,2,3,4,5,6,7,8,9,10,11,12
A,MI MEHTP PLATE,MI MEHTP PLATE,MI MEHTP PLATE,MI,MI,MI,MI MEHTP PLATE,MI MEHTP PLATE,MI MEHTP PLATE,MI,MI,MI
B,0.01 uM MEHTP,0.01 uM MEHTP,0.01 uM MEHTP,MIE,MIE,MIE,0.01 uM MEHTP ,0.01 uM MEHTP ,0.01 uM MEHTP ,MIE,MIE,MIE
C,0.1 uM MEHTP,0.1 uM MEHTP,0.1 uM MEHTP,MIR,MIR,MIR,0.1 uM MEHTP ,0.1 uM MEHTP ,0.1 uM MEHTP ,MIR,MIR,MIR
D,1 uM MEHTP,1 uM MEHTP,1 uM MEHTP,MID,MID,MID,1 uM MEHTP ,1 uM MEHTP ,1 uM MEHTP ,MID,MID,MID
E,10 uM MEHTP,10 uM MEHTP,10 uM MEHTP,,,,10 uM MEHTP ,10 uM MEHTP ,10 uM MEHTP ,,,
F,20 uM MEHTP,20 uM MEHTP,20 uM MEHTP,,,,20 uM MEHTP ,20 uM MEHTP ,20 uM MEHTP ,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
