,1,2,3,4,5,6,7,8,9,10,11,12
A,MI DEHTP PLATE,MI DEHTP PLATE,MI DEHTP PLATE,10 uM DEHTP ,10 uM DEHTP ,10 uM DEHTP ,0.1 uM DEHA,0.1 uM DEHA,0.1 uM DEHA,MI,MI,MI
B,0.01 uM DEHTP ,0.01 uM DEHTP ,0.01 uM DEHTP ,20 uM DEHTP ,20 uM DEHTP ,20 uM DEHTP ,1 uM DEHA ,1 uM DEHA ,1 uM DEHA ,MIE,MIE,MIE
C,0.1 uM DEHTP,0.1 uM DEHTP,0.1 uM DEHTP,MI DEHA PLATE,MI DEHA PLATE,MI DEHA PLATE,10 uM DEHA ,10 uM DEHA ,10 uM DEHA ,MIR,MIR,MIR
D,1 uM DEHTP ,1 uM DEHTP ,1 uM DEHTP ,0.01 uM DEHTP ,0.01 uM DEHTP ,0.01 uM DEHTP ,20 uM DEHA ,20 uM DEHA ,20 uM DEHA ,MID,MID,MID
E,MI DEHTP PLATE,MI DEHTP PLATE,MI DEHTP PLATE,10 uM DEHTP ,10 uM DEHTP ,10 uM DEHTP ,0.1 uM DEHA ,0.1 uM DEHA ,0.1 uM DEHA ,MIR,MIR,MIR
F,0.01 uM DEHTP ,0.01 uM DEHTP ,0.01 uM DEHTP ,20 uM DEHTP ,20 uM DEHTP ,20 uM DEHTP ,1 uM DEHA ,1 uM DEHA ,1 uM DEHA ,MID,MID,MID
G,0.1 uM DEHTP ,0.1 uM DEHTP ,0.1 uM DEHTP ,MI DEHA PLATE,MI DEHA PLATE,MI DEHA PLATE,10 uM DEHA ,10 uM DEHA ,10 uM DEHA ,MIE,MIE,MIE
H,1 uM DEHTP ,1 uM DEHTP ,1 uM DEHTP ,0.01 uM DEHA ,0.01 uM DEHA ,0.01 uM DEHA ,20 uM DEHA ,20 uM DEHA ,20 uM DEHA ,MI,MI,MI
