,1,2,3,4,5,6,7,8,9,10,11,12
A,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2
B,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2
C,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2
D,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2,Klf2
E,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
F,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
G,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
H,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
