,1,2,3,4,5,6,7,8,9,10,11,12
A,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI
B,MIE,MIE,MIE,MIE,MIE,MIE,MIE,MIE,MIE,MIE,MIE,MIE
C,MIR,MIR,MIR,MIR,MIR,MIR,MIR,MIR,MIR,MIR,MIR,MIR
D,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID
E,100 uM Retinoic Acid,100 uM Retinoic Acid,100 uM Retinoic Acid,100 uM Retinoic Acid,100 uM Retinoic Acid,100 uM Retinoic Acid,100 uM Retinoic Acid,100 uM Retinoic Acid,100 uM Retinoic Acid,100 uM Retinoic Acid,100 uM Retinoic Acid,100 uM Retinoic Acid
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
