,1,2,3,4,5,6,7,8,9,10,11,12
A,MI MEHP PLATE,MI MEHP PLATE,MI MEHP PLATE,MI MEHTP PLATE,MI MEHTP PLATE,MI MEHTP PLATE,MI MEHP PLATE,MI MEHP PLATE,MI MEHP PLATE,MI MEHTP PLATE,MI MEHTP PLATE,MI MEHTP PLATE
B,0.01 uM MEHP,0.01 uM MEHP,0.01 uM MEHP,0.01 uM MEHTP,0.01 uM MEHTP,0.01 uM MEHTP,0.01 uM MEHP,0.01 uM MEHP,0.01 uM MEHP,0.01 uM MEHTP,0.01 uM MEHTP,0.01 uM MEHTP
C,0.1 uM MEHP ,0.1 uM MEHP ,0.1 uM MEHP ,0.1 uM MEHTP ,0.1 uM MEHTP ,0.1 uM MEHTP ,0.1 uM MEHP ,0.1 uM MEHP ,0.1 uM MEHP ,0.1 uM MEHTP ,0.1 uM MEHTP ,0.1 uM MEHTP 
D,1 uM MEHP,1 uM MEHP,1 uM MEHP,1 uM MEHTP,1 uM MEHTP,1 uM MEHTP,1 uM MEHP,1 uM MEHP,1 uM MEHP,1 uM MEHTP,1 uM MEHTP,1 uM MEHTP
E,10 uM MEHP,10 uM MEHP,10 uM MEHP,10 uM MEHTP,10 uM MEHTP,10 uM MEHTP,10 uM MEHP,10 uM MEHP,10 uM MEHP,10 uM MEHTP,10 uM MEHTP,10 uM MEHTP
F,20 uM MEHP,20 uM MEHP,20 uM MEHP,20 uM MEHTP,20 uM MEHTP,20 uM MEHTP,20 uM MEHP,20 uM MEHP,20 uM MEHP,20 uM MEHTP,20 uM MEHTP,20 uM MEHTP
G,50 uM MEHP ,50 uM MEHP ,50 uM MEHP ,50 uM MEHTP ,50 uM MEHTP ,50 uM MEHTP ,50 uM MEHP ,50 uM MEHP ,50 uM MEHP ,50 uM MEHTP ,50 uM MEHTP ,50 uM MEHTP 
H,100 uM MEHP,100 uM MEHP,100 uM MEHP,100 uM MEHTP,100 uM MEHTP,100 uM MEHTP,100 uM MEHP,100 uM MEHP,100 uM MEHP,100 uM MEHTP,100 uM MEHTP,100 uM MEHTP
