,1,2,3,4,5,6,7,8,9,10,11,12
A,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP
B,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP
C,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP
D,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP
E,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa
F,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa
G,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa
H,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa,CEBPa
