,1,2,3,4,5,6,7,8,9,10,11,12
A,PPARg,PPARg,PPARg,PPARg,PPARg,PPARg,PPARg,PPARg,PPARg,b-actin,b-actin,b-actin
B,PPARg,PPARg,PPARg,PPARg,PPARg,PPARg,PPARg,PPARg,PPARg,b-actin,b-actin,b-actin
C,PPARg,PPARg,PPARg,,,,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
D,PPARg,PPARg,PPARg,,,,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
E,PPARg,PPARg,PPARg,,,,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
F,PPARg,PPARg,PPARg,,,,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
G,,,,,,,,,,,,
H,,,,,,,,,,,,
