,1,2,3,4,5,6,7,8,9,10,11,12
A,18,18.04,18.1,17.68,17.89,17.79,17.77,17.91,17.82,17.64,17.65,17.56
B,18.23,18.15,18.15,17.97,17.74,17.81,17.87,18,17.72,17.74,17.74,17.7
C,18.41,18.37,18.34,17.88,18.06,18.09,17.6,17.67,17.76,18.35,18.32,18.53
D,18.86,18.77,18.6,18.23,18.08,17.89,18.26,18.26,18.18,18.82,19.02,18.73
E,21.41,21.45,21.43,21.25,21.29,21.32,21.2,21.2,21.27,21.4,21.38,21.44
F,18.46,18.34,18.17,18.85,18.78,18.75,19.5,19.51,19.4,21.13,21.21,21.25
G,18.08,18.1,17.94,17.44,17.45,17.31,18.9,18.95,18.98,18.11,18.25,18.35
H,18.06,18.1,18.03,17.46,17.42,17.02,18.23,18.13,18.14,18.99,19.08,18.98
