,1,2,3,4,5,6,7,8,9,10,11,12
A,19,18.78,18.88,18.9,19.09,18.76,18.36,18.29,18.27,18.17,18.41,18.18
B,18.63,18.42,18.46,18.44,18.38,18.39,18.26,18.24,18.28,18.26,18.32,18.24
C,18.63,18.46,18.25,18.43,18.44,18.53,18.23,18.21,18.14,18.04,18.06,18.11
D,18.71,18.56,18.55,18.36,18.42,18.31,18.27,18.21,18.13,17.96,18,18.03
E,19.01,18.71,18.62,18.52,18.39,18.37,18.08,18.06,18.03,17.98,18.07,18.16
F,20.03,19.56,19.57,19.18,19.09,19.17,17.97,17.74,17.81,18.23,18.15,18.15
G,21.24,21.07,21.01,20.39,20.25,20.23,17.88,18.06,18.09,18.41,18.37,18.34
H,21.52,21.29,21.47,20.72,20.74,20.72,18.23,18.08,17.89,18.86,18.77,18.6
