,1,2,3,4,5,6,7,8,9,10,11,12
A,23.97,24.01,23.96,18.36,18.29,18.27,23.72,23.68,23.64,24.22,24.22,24.32
B,23.57,23.49,23.42,18.26,18.24,18.28,23.49,23.59,23.42,24.01,23.89,24.06
C,23.59,23.4,23.34,18.23,18.21,18.14,23.28,23.33,23.18,21.5,21.51,21.72
D,23.96,23.62,23.53,18.27,18.21,18.13,23.42,23.41,23.37,22.51,22.5,22.62
E,23.25,23.15,23.1,18.08,18.06,18.03,22.48,22.5,22.43,18.22,18.24,18.26
F,23.22,23.09,23,18.22,18.23,18.16,22.22,22.22,22.12,18.18,18.21,18.36
G,18.17,18.41,18.18,18.04,18.06,18.11,17.98,18.07,18.16,18.8,18.86,18.94
H,18.26,18.32,18.24,17.96,18,18.03,18.16,18.18,18.21,19.15,19.28,19.26
