,1,2,3,4,5,6,7,8,9,10,11,12
A,FASN,FASN,FASN,b-actin,b-actin,b-actin,FASN,FASN,FASN,FASN,FASN,FASN
B,FASN,FASN,FASN,b-actin,b-actin,b-actin,FASN,FASN,FASN,FASN,FASN,FASN
C,FASN,FASN,FASN,b-actin,b-actin,b-actin,FASN,FASN,FASN,FASN,FASN,FASN
D,FASN,FASN,FASN,b-actin,b-actin,b-actin,FASN,FASN,FASN,FASN,FASN,FASN
E,FASN,FASN,FASN,b-actin,b-actin,b-actin,FASN,FASN,FASN,b-actin,b-actin,b-actin
F,FASN,FASN,FASN,b-actin,b-actin,b-actin,FASN,FASN,FASN,b-actin,b-actin,b-actin
G,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
H,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
