,1,2,3,4,5,6,7,8,9,10,11,12
A,10 uM MEHP ,10 uM MEHP ,10 uM MEHP ,10 uM MEHTP,10 uM MEHTP,10 uM MEHTP,10 uM MEHA,10 uM MEHA,10 uM MEHA,,,
B,20 uM MEHP,20 uM MEHP,20 uM MEHP,20 uM MEHTP,20 uM MEHTP,20 uM MEHTP,20 uM MEHA,20 uM MEHA,20 uM MEHA,MI MEHP PLATE,MI MEHP PLATE,MI MEHP PLATE
C,50 uM MEHP ,50 uM MEHP ,50 uM MEHP ,50 uM MEHTP ,50 uM MEHTP ,50 uM MEHTP ,50 uM MEHA ,50 uM MEHA ,50 uM MEHA ,MI MEHTP PLATE,MI MEHTP PLATE,MI MEHTP PLATE
D,100 uM MEHP,100 uM MEHP,100 uM MEHP,100 uM MEHTP,100 uM MEHTP,100 uM MEHTP,100 uM MEHA,100 uM MEHA,100 uM MEHA,MI MEHA PLATE,MI MEHA PLATE,MI MEHA PLATE
E,10 uM MEHP,10 uM MEHP,10 uM MEHP,10 uM MEHTP,10 uM MEHTP,10 uM MEHTP,10 uM MEHA,10 uM MEHA,10 uM MEHA,,,
F,20 uM MEHP,20 uM MEHP,20 uM MEHP,20 uM MEHTP,20 uM MEHTP,20 uM MEHTP,20 uM MEHA,20 uM MEHA,20 uM MEHA,MI MEHP PLATE,MI MEHP PLATE,MI MEHP PLATE
G,50 uM MEHP ,50 uM MEHP ,50 uM MEHP ,50 uM MEHTP ,50 uM MEHTP ,50 uM MEHTP ,50 uM MEHA ,50 uM MEHA ,50 uM MEHA ,MI MEHTP PLATE,MI MEHTP PLATE,MI MEHTP PLATE
H,100 uM MEHP,100 uM MEHP,100 uM MEHP,100 uM MEHTP,100 uM MEHTP,100 uM MEHTP,100 uM MEHA,100 uM MEHA,100 uM MEHA,MI MEHA PLATE,MI MEHA PLATE,MI MEHA PLATE
