,1,2,3,4,5,6,7,8,9,10,11,12
A,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,Sox9,Sox9,Sox9,Sox9,Sox9,Sox9
B,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,Sox9,Sox9,Sox9,Sox9,Sox9,Sox9
C,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,Sox9,Sox9,Sox9,Sox9,Sox9,Sox9
D,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,Sox9,Sox9,Sox9,Sox9,Sox9,Sox9
E,b-actin,b-actin,b-actin,,,,Sox9,Sox9,Sox9,,,
F,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,Sox9,Sox9,Sox9,Sox9,Sox9,Sox9
G,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,Sox9,Sox9,Sox9,Sox9,Sox9,Sox9
H,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,Sox9,Sox9,Sox9,Sox9,Sox9,Sox9
