,1,2,3,4,5,6,7,8,9,10,11,12
A,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN
B,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN
C,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN
D,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN,RETN
E,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
F,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
G,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
H,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
