,1,2,3,4,5,6,7,8,9,10,11,12
A,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
B,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
C,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
D,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
E,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ
F,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ
G,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ
H,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ
