,1,2,3,4,5,6,7,8,9,10,11,12
A,SREBP,SREBP,SREBP,b-actin,b-actin,b-actin,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP
B,SREBP,SREBP,SREBP,b-actin,b-actin,b-actin,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP
C,SREBP,SREBP,SREBP,b-actin,b-actin,b-actin,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP
D,SREBP,SREBP,SREBP,b-actin,b-actin,b-actin,SREBP,SREBP,SREBP,SREBP,SREBP,SREBP
E,SREBP,SREBP,SREBP,b-actin,b-actin,b-actin,SREBP,SREBP,SREBP,b-actin,b-actin,b-actin
F,SREBP,SREBP,SREBP,b-actin,b-actin,b-actin,SREBP,SREBP,SREBP,b-actin,b-actin,b-actin
G,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
H,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin,b-actin
