,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,MI MEHA PLATE,MI MEHA PLATE,MI MEHA PLATE,MI MEHA PLATE,MI MEHA PLATE,MI MEHA PLATE,MI,MI,MI
B,,,,0.01 uM MEHA,0.01 uM MEHA,0.01 uM MEHA,0.01 uM MEHA,0.01 uM MEHA,0.01 uM MEHA,MIE,MIE,MIE
C,,,,0.1 uM MEHA,0.1 uM MEHA,0.1 uM MEHA,0.1 uM MEHA,0.1 uM MEHA,0.1 uM MEHA,MIR,MIR,MIR
D,,,,1 uM MEHA,1 uM MEHA,1 uM MEHA,1 uM MEHA,1 uM MEHA,1 uM MEHA,MID,MID,MID
E,,,,10 uM MEHA,10 uM MEHA,10 uM MEHA,10 uM MEHA,10 uM MEHA,10 uM MEHA,MI,MI,MI
F,,,,20 uM MEHA,20 uM MEHA,20 uM MEHA,20 uM MEHA,20 uM MEHA,20 uM MEHA,MIE,MIE,MIE
G,,,,,,,,,,MIR,MIR,MIR
H,,,,,,,,,,MID,MID,MID
