,1,2,3,4,5,6,7,8,9,10,11,12
A,MI DEHTP PLATE,MI DEHTP PLATE,MI DEHTP PLATE,MI,MI,MI,MIE,MIE,MIE,,,
B,0.01 uM DEHTP,0.01 uM DEHTP,0.01 uM DEHTP,MIR,MIR,MIR,MID,MID,MID,,,
C,0.1 uM DEHTP,0.1 uM DEHTP,0.1 uM DEHTP,MI DEHTP PLATE,MI DEHTP PLATE,MI DEHTP PLATE,MI,MI,MI,,,
D,1 uM DEHTP,1 uM DEHTP,1 uM DEHTP,0.01 uM DEHTP ,0.01 uM DEHTP ,0.01 uM DEHTP ,MIE,MIE,MIE,,,
E,10 uM DEHTP,10 uM DEHTP,10 uM DEHTP,0.1 uM DEHTP ,0.1 uM DEHTP ,0.1 uM DEHTP ,MIR,MIR,MIR,,,
F,20 uM DEHTP,20 uM DEHTP,20 uM DEHTP,1 uM DEHTP ,1 uM DEHTP ,1 uM DEHTP ,MID,MID,MID,,,
G,,,,10 uM DEHTP ,10 uM DEHTP ,10 uM DEHTP ,,,,,,
H,,,,20 uM DEHTP ,20 uM DEHTP ,20 uM DEHTP ,,,,,,
