,1,2,3,4,5,6,7,8,9,10,11,12
A,100uM Retinoic Acid ,100uM Retinoic Acid ,100uM Retinoic Acid ,100uM Retinoic Acid ,100uM Retinoic Acid ,100uM Retinoic Acid ,,,,,,
B,100uM Retinoic Acid ,100uM Retinoic Acid ,100uM Retinoic Acid ,MI,MI,MI,,,,MI,MI,MI
C,100uM Retinoic Acid ,100uM Retinoic Acid ,100uM Retinoic Acid ,MIE,MIE,MIE,,,,MIE,MIE,MIE
D,100uM Retinoic Acid ,100uM Retinoic Acid ,100uM Retinoic Acid ,MIR,MIR,MIR,,,,MIR,MIR,MIR
E,100uM Retinoic Acid ,100uM Retinoic Acid ,100uM Retinoic Acid ,MID,MID,MID,,,,MID,MID,MID
F,100uM Retinoic Acid ,100uM Retinoic Acid ,100uM Retinoic Acid ,,,,,,,,,
G,100uM Retinoic Acid ,100uM Retinoic Acid ,100uM Retinoic Acid ,MI,MI,MI,,,,MIR,MIR,MIR
H,100uM Retinoic Acid ,100uM Retinoic Acid ,100uM Retinoic Acid ,MIE,MIE,MIE,,,,MID,MID,MID
